id;slug;title;description;duration_minutes;active
1;stoop where;provision mortise;forenenst till;25682;false
2;far-flung deduction whoa;while woot;metabolite boo fooey;12961;true
3;until whose;unsightly roughly disposer;a;21241;true
4;mmm;wedge while while;humor;5818;true
5;weighty whose colonialism;aboard untrue;encouragement inasmuch farm;3986;true
6;millet calculating shell;trek if;ah pish;6172;true
7;sociable lost midst;before optimal rudely;veg;13266;false
8;drat times finally;motionless;smarten which;17243;false
9;stock an;bare;until zebra whose;5250;false
10;wherever;notarize;pine;16893;true
11;gerbil;kielbasa nearly jittery;under;19156;false
12;oh indeed;sternly above;once equally;17085;false
13;potentially although;sans till ignorance;perfectly;16073;false
14;ack antagonize tighten;until phooey;next pinstripe;6350;false
15;positively filter onto;t-shirt versus querulous;soggy brr;3617;false
16;failing;whereas inside;aha;15889;false
17;oof taxicab;inwardly;amidst yowza;30750;true
18;highlight ah which;repentant toaster uh-huh;amend pulse;16610;true
19;zowie regularly;before;pupil intently;30370;false
20;mixture;anenst lock;afore awareness;4887;false
21;bustling pointed jogging;burdensome singe;guilty not;6450;false
22;lovable er while;sure-footed mmm;though;19216;true
23;arrogantly hovercraft lumbering;serene;oof inside commonly;21559;true
24;spectacles;er mmm haircut;premium;31714;true
25;versus uh-huh;dally concrete;destock outset;6398;true
26;fencing;vision outnumber;whoever slap;31974;false
27;below or;hm mostly;populist regarding mysteriously;19377;false
28;yippee;whoa actually;yahoo after now;5143;false
29;finally armoire repeatedly;ouch;phew zowie alongside;19695;true
30;unethically;dearly flowery hm;strong familiarize boohoo;4080;false
